step,emergency_braking,stopping_distance,Radar_distance,speed,steer
0,0,4.920244016527265e-18,4.801476,8.216188161596232e-09,-0.002868292424478523
1,0,9.832778901741233e-17,4.801476,-3.672951490720912e-08,0.0005456222930164508
2,0,3.6303091595591736e-19,4.8167744,-2.231767050324739e-09,-0.00027270366752775405
3,0,1.3193061420174466e-18,5.0075746,-4.2545129296406385e-09,0.0015245329733852636
4,0,9.191233212385617e-17,4.684007,3.55110855471824e-08,0.0015039446487770062
5,0,7.753217635911365e-17,4.7467437,3.2615049588296493e-08,0.0012821171325603244
6,0,7.565828564759653e-17,4.8220587,3.2218499019740574e-08,0.0008480988804472725
7,0,5.2664426039394485e-18,5.2779636,-8.500328965754751e-09,0.0007462929661458705
8,0,1.7125890780109132e-16,5.1930394,-4.847341761244995e-08,0.0011287816149442226
9,0,2.5799768953609276e-18,5.145363,-5.94956158085215e-09,0.0007813810708368567
10,0,2.4297269332135865e-18,4.9603534,-5.773720942658245e-09,0.0006674164711754472
11,0,7.550761092890888e-17,5.162729,3.2186401195918595e-08,0.0010758176244562278
